[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 15:55:51,270 MAC-AZURE PID:1696 THID:4960 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aCyImhZBniD7Nqo6N5EY5k5qqU+DlkdEu
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 15:55:51,286 MAC-AZURE PID:1696 THID:4960 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aALNbh2l60MyA1zF390eIETj6p7t+FZSB
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 15:55:51,286 MAC-AZURE PID:1696 THID:4960 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:556.2799.cc64a62.0 MSG:aDZragyOS9X5H5uHIeNXhKDDHuperROk1
[AVG.ADVISOR] ERROR 2013-04-11 15:55:51,286 MAC-AZURE PID:1696 THID:4960 ID:{1FCE1315-4823-4428-A4BD-68D29D420E76}:287.2799.cc64a62.0 MSG:aBUSkb6+TCnMewCGCkE88dmZ/V9rMXtfV
[AVG.ADVISOR] ERROR 2013-04-11 15:55:51,286 MAC-AZURE PID:1696 THID:4960 ID:{1FCE1315-4823-4428-A4BD-68D29D420E76}:106.2799.cc64a62.0 MSG:aCrCXR/hHky+Bxe3hactKS6NCka8YOxz3
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:04,651 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aCyImhZBniD7Nqo6N5EY5k5qqU+DlkdEu
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:04,651 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aAuF9w98TkPdb1PYPkI3gh7NnAG48vm8a
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:04,651 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aBORTJc55x57mxRyBBXjJFfmripxNnwXT
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:29,919 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:29,919 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aD/kL31ym5W0to66Af6S15p6k6HpbpBLw
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 17:44:29,919 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aAuF9w98TkPdb1PYPkI3gh7NnAG48vm8a
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 18:15:19,846 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aAQ5rhkV9deB/nzAqBID3zw0NToD66x1w
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 18:15:19,846 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aBtfKc10oczL+HBK5RIasLj/KvFy3bUi0
