[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,350 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:425.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,351 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:477.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,371 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:425.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,371 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:477.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,556 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:425.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:50,556 MAC-AZURE PID:1696 THID:1728 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:477.2900.081641c.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:51,291 MAC-AZURE PID:1696 THID:1932 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:425.2780.fc8a432.0 MSG:*
[AVG.MSGDISP.CLI] INFO 2013-04-11 15:50:51,292 MAC-AZURE PID:1696 THID:1932 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:477.2780.fc8a432.0 MSG:*
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aBwx2I26wY48asWhdAFbAuKZvn9A=
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aCyImhJV6lSi01bL47kZxwpKqB/c=
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aA8raDL7w9fznWibO5zX3bMa4IMk=
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aAuF9wtoOjeEiq8p6mo2o1rtnU3k=
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aCrCXRv1ajjn4utGUY8sCGqRFx7g=
[AVG.MSGDISP.CLI] WARN 2013-04-12 20:08:45,340 MAC-AZURE PID:1696 THID:1700 ID:{74511FC2-9BB6-4dcb-99E7-19597E79B927}:721.2900.081641c.0 MSG:aAuF9wtoOjeEiq8p6mo2o1rtnUXk=
