[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.SCAN.SM] INFO 2013-04-11 15:54:34,161 MAC-AZURE PID:1696 THID:912 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:54:34,254 MAC-AZURE PID:1696 THID:912 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:54:34,708 MAC-AZURE PID:1696 THID:912 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:54:34,708 MAC-AZURE PID:1696 THID:912 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:41,223 MAC-AZURE PID:1696 THID:4712 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:41,411 MAC-AZURE PID:1696 THID:4712 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:41,848 MAC-AZURE PID:1696 THID:4712 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:41,848 MAC-AZURE PID:1696 THID:4712 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:42,223 MAC-AZURE PID:1696 THID:4808 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:42,270 MAC-AZURE PID:1696 THID:4808 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:42,723 MAC-AZURE PID:1696 THID:4808 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-11 15:55:42,723 MAC-AZURE PID:1696 THID:4808 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.LOG.SM] ALL 2013-04-12 20:09:15,323 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001943425760bAE2vHqGWWYcB9az/Ocl0q39dUtKrk2V9+u9K0QfTRREkVnYNjmDItZV+RvWFP21eo3GqX5pDavR1mn4gvL+gn5MNFRT6d/mjYz+hAHkaTL7neJbCQOZNM/vcXloUlQY3nDwtQAdwiKdQNzNBsafIb6v/OIptN2twwzFTiC70+LzYcxRAu8STjkYsHWC8a8hqaTaSX3rGlitFhzuhH4e6PFbQBJ3EA5/SfMmS+GICL83e2Tn5SdIg+VX8tiHqoeLDdfvVqRCDFMLq/21GAoPWE/c0trqqAgT5z35E0mKxUeItAAjMTTM4EK/wnB4zmvWuj2ZYW+SRJ8zrcUMX2Pd9NKo=
[AVG.SCAN.SM] INFO 2013-04-12 20:13:04,574 MAC-AZURE PID:1696 THID:2996 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-12 20:13:04,667 MAC-AZURE PID:1696 THID:2996 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
